Allegation,Record Status,,Note:
Animal,Active,,"1. ""Offensive Language"" allegations that are not substantiated are reported as ""Offensive Language: Other"""
Chokehold,Active,,"2. “Untruthful Statement” allegations that are not substantiated are reported ""Abuse of Authority: Other"""
Flashlight As Club,Inactive,,"3. “Bias-Based Policing” allegations that are not substantiated are reported as ""Abuse of Authority: Other"""
Flashlight as club,Active,,"4. “Racial Profiling” allegations that are not substantiated are reported as ""Abuse of Authority: Other"""
Gun As Club,Inactive,,"5. “Sexual Misconduct” allegations that are not substantiated are reported as ""Abuse of Authority: Other"""
Gun as club,Active,,
Gun fired,Active,,
Gun Fired,Inactive,,
Gun Pointed,Active,,
Handcuffs too tight,Active,,
Hit against inanimate object,Active,,
Less Than Lethal Force/Device,Active,,
Nightstick as club (incl asp & baton),Active,,
Nonlethal restraining device,Active,,
Other,Active,,
Other blunt instrument as a club,Active,,
Pepper spray,Active,,
Physical force,Active,,
Police shield,Active,,
Radio As Club,Inactive,,
Radio as club,Active,,
Restricted Breathing,Active,,
Vehicle,Active,,
Bias-Based Policing (Age),Active,,
Bias-Based Policing (Color),Inactive,,
Bias-Based Policing (Disability),Active,,
Bias-Based Policing (Gender),Active,,
Bias-Based Policing (Housing Status),Active,,
Bias-Based Policing (Immigration Status),Active,,
Bias-Based Policing (Intersectional),Active,,
Bias-Based Policing (National Origin),Inactive,,
Bias-Based Policing (Race),Inactive,,
Bias-Based Policing (Religion),Active,,
Bias-Based Policing (Sexual Orientation),Active,,
Body Cavity Searches,Active,,
Detention,Inactive,,
Detention,Active,,
Disseminated immigration status,Active,,
Electronic device information deletion,Active,,
Enforcement Action,Active,,
Entry of Premises,Active,,
Failed to Obtain Language Interpretation,Active,,
Failure to Explain,Active,,
Failure to provide RTKA card,Active,,
False official statement,Active,,
Forcible Removal to Hospital,Active,,
Frisk,Active,,
Frisk and/or search,Inactive,,
Gun Drawn,Active,,
Gun pointed,Inactive,,
Gun pointed/gun drawn,Inactive,,
Improper dissemination of medical info,Active,,
Improper use of body-worn camera,Active,,
Inaccurate official statement,Active,,
Interference with recording,Active,,
Misleading official statement,Active,,
Obstructed Rank Designation,Active,,
Obstructed Rank Designation,Inactive,,
Obstructed Shield Number,Inactive,,
Obstructed Shield Number,Active,,
Other,Active,,
Other - Abuse,Inactive,,
Photography/Videography,Active,,
Premises entered and/or searched,Inactive,,
Property damaged,Active,,
Property Damaged,Inactive,,
Question,Active,,
Question and/or stop,Inactive,,
Questioned immigration status,Active,,
Racial Profiling (Color),Active,,
Racial Profiling (Intersectional),Active,,
Racial Profiling (National Origin),Active,,
Racial Profiling (Race),Active,,
Refusal to obtain medical treatment,Active,,
Refusal to process civilian complaint,Active,,
Refusal to provide name,Active,,
Refusal to provide name/shield number,Inactive,,
Refusal to provide shield number,Active,,
Refusal to show arrest warrant,Active,,
Refusal to show search warrant,Active,,
Retaliatory arrest,Active,,
Retaliatory summons,Active,,
Search (of person),Active,,
Search of Premises,Active,,
Search of recording device,Active,,
Seizure of property,Active,,
Sex Miscon (Humiliation: fail to cover),Active,,
"Sex Miscon (Sexual Harassment, Gesture)",Active,,
"Sex Miscon (Sexual Harassment, Verbal)",Active,,
Sex Miscon (Sexual/Romantic Proposition),Active,,
Sex Miscon (Sexually Motiv Photo/Video),Active,,
Sex Miscon (Sexually Motiv Strip-Search),Active,,
Sex Miscon (Sexually Motiv Vehicle Stop),Active,,
Sex Miscon (Sexually Motivated Arrest),Active,,
Sex Miscon (Sexually Motivated Frisk),Active,,
Sex Miscon (Sexually Motivated Question),Active,,
Sex Miscon (Sexually Motivated Search),Active,,
Sex Miscon (Sexually Motivated Stop),Active,,
Sex Miscon (Sexually Motivated Summons),Active,,
Sexual Miscon (Forcible Touching),Active,,
Sexual Miscon (Inappropriate Touching),Active,,
Sexual Miscon (On-duty Sexual Activity),Active,,
Sexual Miscon (Penetrative Sex. Contact),Active,,
Sexual Miscon (Rape),Active,,
Sexual Miscon (Sexual Assault),Active,,
Sexual Misconduct (Sexual Humiliation),Active,,
Stop,Active,,
Strip-searched,Active,,
Threat of Arrest,Inactive,,
Threat of arrest,Active,,
Threat of force (verbal or physical),Active,,
Threat of summons,Active,,
Threat of Summons,Inactive,,
Threat re: immigration status,Active,,
Threat re: removal to hospital,Active,,
Threat to damage/seize property,Active,,
Threat to notify ACS,Active,,
Unlawful Arrest,Active,,
Unlawful Summons,Active,,
Untruthful Statement,Inactive,,
Vehicle search,Active,,
Vehicle stop,Active,,
Action,Active,,
Demeanor/tone,Inactive,,
Gesture,Active,,
Other,Active,,
Word,Active,,
Disability,Active,,
Ethnicity,Active,,
Gender,Inactive,,
Gender,Active,,
Gender Identity,Inactive,,
Other,Active,,
Race,Active,,
Religion,Active,,
Sexual orientation,Active,,
False official statement,Active,,
Impeding an investigation,Active,,
Inaccurate official statement,Active,,
Misleading official statement,Active,,
