Command Name Abbreviation,Command Name Long,Record Status
001 DET                                                     ,001 DET SQUAD,Active
001 PCT                                                     ,001 PRECINCT,Active
005 DET                                                     ,005 DET SQUAD,Active
005 PCT                                                     ,005 PRECINCT,Active
006 DET                                                     ,006 DET SQUAD,Active
006 PCT                                                     ,006 PRECINCT,Active
007 DET                                                     ,007 DET SQUAD,Active
007 PCT                                                     ,007 PRECINCT,Active
009 DET                                                     ,009 DET SQUAD,Active
009 PCT                                                     ,009 PRECINCT,Active
010 DET                                                     ,010 DET SQUAD,Active
010 PCT                                                     ,010 PRECINCT,Active
013 DET                                                     ,013 DET SQUAD,Active
013 PCT                                                     ,013 PRECINCT,Active
017 DET                                                     ,017 DET SQUAD,Active
017 PCT                                                     ,017 PRECINCT,Active
019 DET                                                     ,019 DET SQUAD,Active
019 PCT                                                     ,019 PRECINCT,Active
020 DET                                                     ,020 DET SQUAD,Active
020 PCT                                                     ,020 PRECINCT,Active
023 DET                                                     ,023 DET SQUAD,Active
023 PCT                                                     ,023 PRECINCT,Active
024 DET                                                     ,024 DET SQUAD,Active
024 PCT                                                     ,024 PRECINCT,Active
025 DET                                                     ,025 DET SQUAD,Active
025 PCT                                                     ,025 PRECINCT,Active
026 DET                                                     ,026 DET SQUAD,Active
026 PCT                                                     ,026 PRECINCT,Active
028 DET                                                     ,028 DET SQUAD,Active
028 PCT                                                     ,028 PRECINCT,Active
030 DET                                                     ,030 DET SQUAD,Active
030 PCT                                                     ,030 PRECINCT,Active
032 DET                                                     ,032 DET SQUAD,Active
032 PCT                                                     ,032 PRECINCT,Active
033 DET                                                     ,033 DET SQUAD,Active
033 PCT                                                     ,033 PRECINCT,Active
034 DET                                                     ,034 DET SQUAD,Active
034 PCT                                                     ,034 PRECINCT,Active
040 DET                                                     ,040 DET SQUAD,Active
040 PCT                                                     ,040 PRECINCT,Active
041 DET                                                     ,041 DET SQUAD,Active
041 PCT                                                     ,041 PRECINCT,Active
042 DET                                                     ,042 DET SQUAD,Active
042 PCT                                                     ,042 PRECINCT,Active
043 DET                                                     ,043 DET SQUAD,Active
043 PCT                                                     ,043 PRECINCT,Active
044 DET                                                     ,044 DET SQUAD,Active
044 PCT                                                     ,044 PRECINCT,Active
045 DET                                                     ,045 DET SQUAD,Active
045 PCT                                                     ,045 PRECINCT,Active
046 DET                                                     ,046 DET SQUAD,Active
046 PCT                                                     ,046 PRECINCT,Active
047 DET                                                     ,047 DET SQUAD,Active
047 PCT                                                     ,047 PRECINCT,Active
048 DET                                                     ,048 DET SQUAD,Active
048 PCT                                                     ,048 PRECINCT,Active
049 DET                                                     ,049 DET SQUAD,Active
049 PCT                                                     ,049 PRECINCT,Active
050 DET                                                     ,050 DET SQUAD,Active
050 PCT                                                     ,050 PRECINCT,Active
052 DET                                                     ,052 DET SQUAD,Active
052 PCT                                                     ,052 PRECINCT,Active
060 DET                                                     ,060 DET SQUAD,Active
060 PCT                                                     ,060 PRECINCT,Active
061 DET                                                     ,061 DET SQUAD,Active
061 PCT                                                     ,061 PRECINCT,Active
062 DET                                                     ,062 DET SQUAD,Active
062 PCT                                                     ,062 PRECINCT,Active
063 DET                                                     ,063 DET SQUAD,Active
063 PCT                                                     ,063 PRECINCT,Active
066 DET                                                     ,066 DET SQUAD,Active
066 PCT                                                     ,066 PRECINCT,Active
067 DET                                                     ,067 DET SQUAD,Active
067 PCT                                                     ,067 PRECINCT,Active
068 DET                                                     ,068 DET SQUAD,Active
068 PCT                                                     ,068 PRECINCT,Active
069 DET                                                     ,069 DET SQUAD,Active
069 PCT                                                     ,069 PRECINCT,Active
070 DET                                                     ,070 DET SQUAD,Active
070 PCT                                                     ,070 PRECINCT,Active
071 DET                                                     ,071 DET SQUAD,Active
071 PCT                                                     ,071 PRECINCT,Active
072 DET                                                     ,072 DET SQUAD,Active
072 PCT                                                     ,072 PRECINCT,Active
073 DET                                                     ,073 DET SQUAD,Active
073 PCT                                                     ,073 PRECINCT,Active
075 DET                                                     ,075 DET SQUAD,Active
075 PCT                                                     ,075 PRECINCT,Active
076 DET                                                     ,076 DET SQUAD,Active
076 PCT                                                     ,076 PRECINCT,Active
077 DET                                                     ,077 DET SQUAD,Active
077 PCT                                                     ,077 PRECINCT,Active
078 DET                                                     ,078 DET SQUAD,Active
078 PCT                                                     ,078 PRECINCT,Active
079 DET                                                     ,079 DET SQUAD,Active
079 PCT                                                     ,079 PRECINCT,Active
081 DET                                                     ,081 DET SQUAD,Active
081 PCT                                                     ,081 PRECINCT,Active
083 DET                                                     ,083 DET SQUAD,Active
083 PCT                                                     ,083 PRECINCT,Active
084 DET                                                     ,084 DET SQUAD,Active
084 PCT                                                     ,084 PRECINCT,Active
088 DET                                                     ,088 DET SQUAD,Active
088 PCT                                                     ,088 PRECINCT,Active
090 DET                                                     ,090 DET SQUAD,Active
090 PCT                                                     ,090 PRECINCT,Active
094 DET                                                     ,094 DET SQUAD,Active
094 PCT                                                     ,094 PRECINCT,Active
100 DET                                                     ,100TH DET SQUAD,Active
100 PCT                                                     ,100 PRECINCT,Active
101 DET                                                     ,101ST DET SQUAD,Active
101 PCT                                                     ,101 PRECINCT,Active
102 DET                                                     ,102ND DET SQUAD,Active
102 PCT                                                     ,102 PRECINCT,Active
103 DET                                                     ,103RD DETECTIVE SQUAD,Active
103 PCT                                                     ,103 PRECINCT,Active
104 DET                                                     ,104TH DET SQUAD,Active
104 PCT                                                     ,104 PRECINCT,Active
105 DET                                                     ,105TH DET SQUAD,Active
105 PCT                                                     ,105 PRECINCT,Active
106 DET                                                     ,106TH DET SQUAD,Active
106 PCT                                                     ,106 PRECINCT,Active
107 DET                                                     ,107TH DET SQUAD,Active
107 PCT                                                     ,107 PRECINCT,Active
108 DET                                                     ,108TH DET SQUAD,Active
108 PCT                                                     ,108 PRECINCT,Active
109 DET                                                     ,109TH DET SQUAD,Active
109 PCT                                                     ,109 PRECINCT,Active
110 DET                                                     ,110TH DET SQUAD,Active
110 PCT                                                     ,110 PRECINCT,Active
111 DET                                                     ,111TH DET SQUAD,Active
111 PCT                                                     ,111 PRECINCT,Active
112 DET                                                     ,112TH DET SQUAD,Active
112 PCT                                                     ,112 PRECINCT,Active
113 DET                                                     ,113TH DET SQUAD,Active
113 PCT                                                     ,113 PRECINCT,Active
114 DET                                                     ,114TH DET SQUAD,Active
114 PCT                                                     ,114 PRECINCT,Active
115 DET                                                     ,115TH DET SQUAD,Active
115 PCT                                                     ,115 PRECINCT,Active
115 RSVLT TF                                                ,115 PCT ROOSEVELT AVE TF,Active
120 DET                                                     ,120 DETECTIVE SQUAD,Active
120 PCT                                                     ,120 PRECINCT,Active
120 VIPER                                                   ,120 PCT VIPER,Active
121 DET                                                     ,121 DETECTIVE SQUAD,Active
121 PCT                                                     ,121 PRECINCT,Active
122 DET                                                     ,122 DETECTIVE SQUAD,Active
122 PCT                                                     ,122 PRECINCT,Active
123 DET                                                     ,NA,Inactive
123 DET SQD                                                 ,123 DETECTIVE SQUAD,Active
123 PCT                                                     ,123 PRECINCT,Active
125 ST TF                                                   ,125 STREET TASK FORCE,Active
1ST D C                                                     ,FIRST DEPUTY COMMISSIONER,Active
1ST D.C                                                     ,NA,Inactive
28 PCT HUB                                                  ,28 PCT HUB SITE,Active
A P DIV                                                     ,NA,Inactive
A&E                                                         ,ARSON & EXPLOSION,Active
A&E SQD                                                     ,NA,Inactive
AC ZONE I                                                   ,AC ZONE I QUEENS/BKLYN/S.I.,Active
AC ZONE II                                                  ,AC ZONE II BRONX/ MANHATTAN,Active
ADM DIV                                                     ,NA,Inactive
ADM DIV                                                     ,NA,Inactive
ADM SUP                                                     ,NA,Inactive
ANALYSIS&MAP                                                ,OMAP ANALYSIS & MAPPING SECT,Active
ANIMAL INV SQD                                              ,SID ANIMAL CRUELTY INV SQD,Active
ASSET FORFEIT                                               ,ASSET FORFEITURE UNIT,Active
AUD&ACC                                                     ,NA,Inactive
AUD&ACCT                                                    ,AUDITS & ACCOUNTS UNIT,Active
AUTO CD                                                     ,NA,Inactive
AUTO CR                                                     ,AUTO CRIME,Active
AUTO PND                                                    ,AUTO POUND,Active
AUX P.S                                                     ,NA,Inactive
AUX POL SEC                                                 ,AUXILIARY POLICE SECT,Active
AV UNIT                                                     ,NA,Inactive
AV.UNIT                                                     ,NA,Inactive
AVIATION                                                    ,AVIATION UNIT,Active
B/S-END                                                     ,NA,Inactive
B/S-WND                                                     ,NA,Inactive
BALLISTIC VEST                                              ,BALLISTIC VEST UNIT,Active
BARRIER                                                     ,BARRIER SECTION,Active
BDBKZ14                                                     ,NA,Inactive
BH DIV                                                      ,BEHAVIORAL HEALTH DIVISION,Active
BK CHILD                                                    ,BROOKLYN CHILD ABUSE SQUAD,Active
BK COURT                                                    ,BROOKLYN COURT SECTION,Active
BK IMP                                                      ,NA,Inactive
BK SVS                                                      ,BROOKLYN SPECIAL VICTIMS SQUAD,Active
BK TRAN ROB SQD                                             ,BKLYN TRANSIT ROBBERY SQUAD,Active
BKLN CT                                                     ,NA,Inactive
BKROBSQ                                                     ,BKLYN ROBBERY SQ,Active
BLDG MAINT                                                  ,BUILDING MAINTENANCE SECT,Active
BM SEC                                                      ,NA,Inactive
BN CRIME ANL                                                ,BN CRIME ANALYSIS UNIT,Active
BN GRAND LARC                                               ,BROOKLYN NORTH GRAND LARCENY SQD,Active
BN IRT                                                      ,NA,Inactive
BN OP NIGHT                                                 ,BROOKLYN NORTH OPER NIGHT WATCH,Active
BN SU ECT                                                   ,BN EVIDENCE COLLECTION TEAM,Active
BN VICE                                                     ,BKLYN NORTH VICE MODULE,Active
BN WARR SQD                                                 ,BKLYN NORTH WARRANT SQUAD,Active
BNNARCD                                                     ,NA,Inactive
BOMB SQ                                                     ,BOMB SQUAD,Active
BS CRIME ANL                                                ,BS CRIME ANALYSIS UNIT,Active
BS GRAND LARC                                               ,BROOKLYN SOUTH GRAND LARCENY SQD,Active
BS IRT                                                      ,NA,Inactive
BS OP NIGHT                                                 ,BROOKLYN SOUTH OPER NIGHT WATCH,Active
BS SU ECT                                                   ,BS EVIDENCE COLLECTION TEAM,Active
BS VICE                                                     ,BKLYN SOUTH VICE MODULE,Active
BS WARRANT SQD                                              ,BROOKLYN SOUTH WARRANT SQD,Active
BUS UT                                                      ,NA,Inactive
BUSINESS INTGRTY                                            ,CEIS BUSINESS INTEGRITY COM,Active
BX APP TEAM                                                 ,BRONX OP APPRHENSION TEAM,Active
BX CB                                                       ,NA,Inactive
BX CHILD                                                    ,BRONX CHILD ABUSE SQUAD,Active
BX COURT                                                    ,BRONX COURT SECT,Active
BX CRIME ANL                                                ,BX CRIME ANALYSIS UNIT,Active
BX CT                                                       ,NA,Inactive
BX GRAND LARC                                               ,BRONX GRAND LARCENY SQD,Active
BX IRT                                                      ,NA,Inactive
BX OP NIGHT                                                 ,BRONX OPER NIGHT WATCH,Active
BX SU ALU                                                   ,BX AUTO LARCENY UNIT,Active
BX SU ECT                                                   ,BX EVIDENCE COLLECTION TEAM,Active
BX SVS                                                      ,BRONX SPECIAL VICTIMS SQUAD,Active
BX TRAN ROB                                                 ,BRONX TRANSIT ROBBERY SQUAD,Active
BX VICE                                                     ,BRONX VICE MODULE,Active
BX WARRANT SQD                                              ,BRONX WARRANT SQD,Active
BX/N-ND                                                     ,NA,Inactive
BX/Q IM                                                     ,NA,Inactive
BX/S-ND                                                     ,NA,Inactive
BXD CID                                                     ,NA,Inactive
BXROBSQ                                                     ,BRONX ROBBERY SQUAD,Active
C A B                                                       ,NA,Inactive
C A D                                                       ,NA,Inactive
C C A S                                                     ,NA,Inactive
C C SQD                                                     ,COLD CASE SQUAD,Active
C D D                                                       ,NA,Inactive
C E D                                                       ,NA,Inactive
